Museum,Country,Exhibition ID,JSON File,Items Count,R2 Ready Count,Status
"Musée de l'Orangerie","France","orangerie-collection","orangerie-collection.json",161,161,"✅ 완료(정상표시)"
"Musée des Arts Décoratifs","France","mad-collection","mad-paris-collection.json",292,291,"✅ 완료(정상표시)"
"Musée des Beaux-Arts de Bordeaux","France","bordeaux-collection","bordeaux-collection.json",5598,5598,"✅ 완료(정상표시)"
"Musée des Beaux-Arts de Lyon","France","lyon-collection","mba-lyon-collection.json",300,300,"✅ 완료(정상표시)"
"Musée des Beaux-Arts de Rouen","France","rouen-mba-collection","rouen-mba-collection.json",134,132,"✅ 완료(정상표시)"
"Musée du Louvre","France","louvre-painting-collection","louvre-painting-collection.json",10617,10615,"✅ 완료(정상표시)"
"Musée Granet","France","granet-collection","musee-granet-collection.json",30,30,"✅ 완료(정상표시)"
"Musée Guimet","France","guimet-collection","musee-guimet-collection.json",480,479,"✅ 완료(정상표시)"
"Musée Jacquemart-André","France","jacquemart-collection","jacquemart-andre-collection.json",29,29,"✅ 완료(정상표시)"
"Musée Marmottan Monet","France","marmottan-collection","marmottan-collection.json",90,90,"✅ 완료(정상표시)"
"Musée Matisse","France","matisse-nice-collection","matisse-nice-collection.json",486,486,"✅ 완료(정상표시)"
"Musée national Marc Chagall","France","chagall-collection","musee-chagall-collection.json",3276,3248,"✅ 완료(정상표시)"
"Musée Picasso Paris","France","picasso-paris-collection","picasso-paris-collection.json",3487,3487,"✅ 완료(정상표시)"
"Musée Rodin","France","rodin-collection","rodin-collection.json",8214,8214,"✅ 완료(정상표시)"
